"i","j","x"
33,85,0.370614618086829
42,86,1
102,87,0.20163750374837
35,88,1
95,89,0.596732020542835
21,90,0.5
10,91,0.552031620434317
104,91,0.373318655367733
64,92,0.447213595499958
59,93,1
6,94,0.3662239371034
25,94,0.481837397730748
79,94,0.59270426435054
17,95,0.216775483309039
17,96,0.216775483309039
17,97,0.216775483309039
53,98,1
97,98,1
100,98,1
107,98,0.28006161119965
58,99,0.283431543281325
62,99,0.283431543281325
66,99,0.283431543281325
18,100,0.620242654782614
55,100,0.347442603297469
60,100,0.620242654782614
61,100,0.461624293719259
63,100,0.412117677891302
12,101,0.895024637137755
37,102,0.644952418957297
99,103,0.5
6,104,0.442609454612168
63,105,0.567290097824834
91,106,0.389374253839556
19,107,0.267261241912424
55,108,0.478263270388324
22,109,0.707106781186548
85,109,0.596850559982782
17,110,0.216775483309039
17,111,0.216775483309039
17,112,0.216775483309039
54,113,0.620678716049392
64,114,0.447213595499958
102,115,0.20163750374837
74,116,0.791616399667749
52,117,0.333333333333333
52,118,0.333333333333333
52,119,0.333333333333333
96,120,0.707106781186548
110,120,0.707106781186548
92,121,0.408248290463863
39,122,0.398194975303187
102,123,0.20163750374837
4,124,0.596732020542835
32,125,0.316227766016838
92,126,0.408248290463863
4,127,0.596732020542835
89,128,0.618206656256471
87,129,0.61032093992591
17,130,0.216775483309039
58,131,0.283431543281325
62,131,0.283431543281325
66,131,0.283431543281325
29,132,0.791616399667749
92,133,0.408248290463863
44,134,1
33,135,0.370614618086829
47,136,1
99,137,0.5
13,138,0.315976926660691
102,139,0.20163750374837
49,140,0.86669971016221
98,141,0.549916330944996
25,142,0.481837397730748
61,142,0.525773454618042
79,142,0.59270426435054
14,143,0.628973777333295
39,144,0.398194975303187
39,145,0.398194975303187
55,146,0.478263270388324
17,147,0.179364381256817
78,147,0.731230250394045
87,147,0.504991782681567
107,148,0.362839101281675
21,149,0.5
45,150,0.644952418957297
23,151,0.48603607568518
14,152,0.45692885097592
43,152,0.68536928439616
65,152,0.532812861403548
85,152,0.482279890453289
86,152,0.587745390342828
76,153,0.456042019240024
102,154,0.20163750374837
17,155,0.216775483309039
13,156,0.315976926660691
87,157,0.61032093992591
108,158,0.770457196440053
81,159,0.447213595499958
33,160,0.370614618086829
94,161,0.577350269189626
19,162,0.267261241912424
92,163,0.408248290463863
94,164,0.577350269189626
51,165,0.707106781186547
58,166,0.283431543281325
62,166,0.283431543281325
66,166,0.283431543281325
58,167,0.283431543281325
62,167,0.283431543281325
66,167,0.283431543281325
58,168,0.283431543281325
62,168,0.283431543281325
66,168,0.283431543281325
55,169,0.478263270388324
81,170,0.447213595499958
104,171,0.415238104277783
40,172,0.377964473009227
91,173,0.389374253839556
54,174,0.479078138602207
83,174,1
91,174,0.300543079576509
102,174,0.155636269571193
107,175,0.362839101281675
104,176,0.415238104277783
13,177,0.315976926660691
31,178,0.596732020542835
19,179,0.267261241912424
102,180,0.20163750374837
13,181,0.315976926660691
104,182,0.415238104277783
32,183,0.316227766016838
102,184,0.20163750374837
102,185,0.20163750374837
58,186,0.283431543281325
62,186,0.283431543281325
66,186,0.283431543281325
81,187,0.447213595499958
68,188,0.577350269189626
102,189,0.20163750374837
58,190,0.283431543281325
62,190,0.283431543281325
66,190,0.283431543281325
67,191,1
19,192,0.267261241912424
1,193,1
102,194,0.20163750374837
32,195,0.316227766016838
32,196,0.316227766016838
32,197,0.316227766016838
102,198,0.20163750374837
77,199,0.524050038626315
103,199,0.534601951949269
104,199,0.343576333038822
13,200,0.315976926660691
102,201,0.20163750374837
102,202,0.20163750374837
17,203,0.216775483309039
101,204,0.447213595499958
95,205,0.536490252770478
106,205,0.509387283978167
41,206,0.447213595499958
41,207,0.447213595499958
84,208,1
96,209,0.707106781186548
110,209,0.707106781186548
58,210,0.283431543281325
62,210,0.283431543281325
66,210,0.283431543281325
19,211,0.267261241912424
93,212,1
58,213,0.283431543281325
62,213,0.283431543281325
66,213,0.283431543281325
48,214,0.707106781186547
102,215,0.20163750374837
77,216,0.633354290329716
102,217,0.20163750374837
17,218,0.216775483309039
17,219,0.216775483309039
17,220,0.216775483309039
32,221,0.316227766016838
107,222,0.362839101281675
46,223,0.462021976113666
46,224,0.462021976113666
52,225,0.333333333333333
52,226,0.333333333333333
52,227,0.333333333333333
17,228,0.216775483309039
64,229,0.447213595499958
64,230,0.447213595499958
39,231,0.398194975303187
73,232,1
34,233,0.477650460293329
16,234,0.668573177210182
69,234,0.758735177717957
102,235,0.18128163334618
105,235,0.851392974109128
81,236,0.447213595499958
40,237,0.377964473009227
13,238,0.315976926660691
19,239,0.267261241912424
68,240,0.577350269189626
98,241,0.549916330944996
13,242,0.261445644483369
61,242,0.525773454618042
85,242,0.549299435810559
19,243,0.267261241912424
7,244,1
82,244,0.668573177210182
40,245,0.377964473009227
101,246,0.447213595499958
80,247,0.662208898882568
40,248,0.377964473009227
102,249,0.20163750374837
106,250,0.566585695895509
88,251,1
81,252,0.447213595499958
102,253,0.20163750374837
91,254,0.389374253839556
19,255,0.267261241912424
102,256,0.20163750374837
37,257,0.579842666992418
89,257,0.555796963899675
33,258,0.370614618086829
99,259,0.5
64,260,0.447213595499958
65,261,0.733429980035146
58,262,0.283431543281325
62,262,0.283431543281325
66,262,0.283431543281325
46,263,0.462021976113666
46,264,0.462021976113666
6,265,0.341633292974817
33,265,0.286063234940501
36,265,0.372639294770443
45,265,0.497814080572508
13,266,0.315976926660691
3,267,0.524050038626315
33,267,0.306653965859726
46,267,0.38228624661645
22,268,0.707106781186548
89,268,0.555796963899675
90,269,0.5
63,270,0.567290097824834
6,271,0.3662239371034
80,271,0.547924920280305
108,271,0.637491732066961
101,272,0.447213595499958
6,273,0.39792679127136
36,273,0.43404188619449
57,274,0.699401338520629
76,274,0.410003300901258
111,275,1
54,276,0.620678716049392
107,277,0.362839101281675
32,278,0.316227766016838
19,279,0.267261241912424
71,280,0.666913951006638
10,281,0.473937378563166
27,281,1
69,281,0.651399209466285
103,281,0.498705318717678
109,282,0.577350269189626
34,283,0.477650460293329
36,284,0.482779864893221
8,285,0.446016702508359
10,285,0.305983208290045
12,285,0.446016702508359
18,285,0.425462924545086
25,285,0.290195448438452
36,285,0.240583191168584
55,285,0.238332441296398
57,285,0.387668129000514
60,285,0.425462924545086
61,285,0.316656748020164
63,285,0.282697088212705
71,285,0.332342540017722
79,285,0.356967061076281
85,285,0.330825703552196
17,286,0.216775483309039
17,287,0.216775483309039
17,288,0.216775483309039
17,289,0.216775483309039
17,290,0.216775483309039
104,291,0.415238104277783
41,292,0.447213595499958
91,293,0.389374253839556
6,294,0.442609454612168
4,295,0.536490252770478
31,295,0.536490252770478
75,296,0.654944797933492
72,297,1
102,298,0.20163750374837
18,299,0.65899950608916
34,299,0.737360207471994
60,299,0.65899950608916
102,299,0.155636269571193
13,300,0.315976926660691
36,301,0.482779864893221
39,302,0.398194975303187
98,303,0.549916330944996
31,304,0.596732020542835
101,305,0.447213595499958
50,306,1
28,307,1
21,308,0.5
14,309,0.628973777333295
17,310,0.167320696445508
38,310,1
55,310,0.369153108387253
74,310,0.611018392339438
90,311,0.5
76,312,0.456042019240024
29,313,0.611018392339438
43,313,0.728195677003301
78,313,0.682130721276107
102,313,0.155636269571193
102,314,0.20163750374837
102,315,0.20163750374837
109,316,0.577350269189626
68,317,0.577350269189626
5,318,0.334286588605091
23,318,0.436969373392618
5,319,0.334286588605091
23,319,0.436969373392618
5,320,0.334286588605091
23,320,0.436969373392618
5,321,0.334286588605091
23,321,0.436969373392618
24,322,1
5,323,0.37182317931884
5,324,0.37182317931884
5,325,0.37182317931884
5,326,0.37182317931884
11,327,0.484527372992368
36,327,0.267405636388235
39,327,0.220555140179877
58,327,0.189733295122386
62,327,0.189733295122386
66,327,0.189733295122386
98,327,0.304591672374642
103,327,0.35787050639426
104,327,0.229995112889813
105,327,0.524528363043995
106,327,0.313824621938033
9,328,1
15,329,1
19,330,0.267261241912424
1,331,1
2,331,1
7,331,1
9,331,1
15,331,1
20,331,1
24,331,1
26,331,1
27,331,1
28,331,1
30,331,1
35,331,1
38,331,1
42,331,1
44,331,1
47,331,1
50,331,1
53,331,1
56,331,1
59,331,1
67,331,1
70,331,1
72,331,1
73,331,1
83,331,1
84,331,1
88,331,1
93,331,1
97,331,1
100,331,1
111,331,1
32,332,1
13,333,1
58,334,1
62,334,1
66,334,1
19,335,1
8,336,1
11,336,1
12,336,1
16,336,1
22,336,1
29,336,1
43,336,1
48,336,1
49,336,1
51,336,1
69,336,1
74,336,1
78,336,1
82,336,1
86,336,1
96,336,1
105,336,1
108,336,1
110,336,1
17,337,1
102,338,1
3,339,1
4,339,1
14,339,1
18,339,1
31,339,1
37,339,1
45,339,1
54,339,1
57,339,1
60,339,1
65,339,1
68,339,1
71,339,1
75,339,1
77,339,1
80,339,1
87,339,1
89,339,1
94,339,1
95,339,1
109,339,1
10,340,1
21,340,1
34,340,1
79,340,1
85,340,1
90,340,1
98,340,1
99,340,1
103,340,1
106,340,1
23,341,1
25,341,1
41,341,1
46,341,1
61,341,1
63,341,1
64,341,1
76,341,1
81,341,1
101,341,1
55,342,1
92,342,1
6,343,1
36,343,1
39,343,1
40,343,1
91,343,1
104,343,1
5,344,1
33,344,1
107,344,1
52,345,1
1,346,0
3,346,1
4,346,1
6,346,1
21,346,1
29,346,1
32,346,1
33,346,1
34,346,1
37,346,1
41,346,1
45,346,1
46,346,1
54,346,1
57,346,1
65,346,1
75,346,1
76,346,1
77,346,1
78,346,1
80,346,1
82,346,1
85,346,1
86,346,1
87,346,0.517034534725482
89,346,1
95,346,1
99,346,1
102,346,1
103,346,1
106,346,1
108,346,1
109,346,1
87,347,0.855964537759132
101,348,1
8,349,1
18,349,1
31,349,1
60,349,1
84,350,1
100,350,1
3,351,1
4,351,1
5,351,1
6,351,1
13,351,1
14,351,1
16,351,1
17,351,1
19,351,1
21,351,1
22,351,1
23,351,1
25,351,1
29,351,1
32,351,1
33,351,1
34,351,1
36,351,1
37,351,1
40,351,1
41,351,1
43,351,1
45,351,1
46,351,1
48,351,1
49,351,1
52,351,1
54,351,1
55,351,1
61,351,1
63,351,1
64,351,1
68,351,1
69,351,1
71,351,1
74,351,1
76,351,1
77,351,1
78,351,1
79,351,1
80,351,1
82,351,1
85,351,1
86,351,1
87,351,1
89,351,1
90,351,1
91,351,1
92,351,1
94,351,1
95,351,1
99,351,1
101,351,1
102,351,1
104,351,1
106,351,1
108,351,1
109,351,1
110,352,1
96,353,1
2,354,1
1,355,1
7,355,1
9,355,1
10,355,1
11,355,1
12,355,1
20,355,1
26,355,1
27,355,1
28,355,1
39,355,1
51,355,1
53,355,1
56,355,1
57,355,1
58,355,1
62,355,1
65,355,1
66,355,1
67,355,1
70,355,1
75,355,1
81,355,1
88,355,1
97,355,1
98,355,1
103,355,1
105,355,1
107,355,1
111,355,1
73,356,1
15,357,1
24,357,1
30,357,1
35,357,1
38,357,1
42,357,1
44,357,1
47,357,1
50,357,1
59,357,1
72,357,1
83,357,1
93,357,1
1,358,1
2,359,1
3,360,1
4,361,1
5,362,1
6,363,1
7,364,1
8,365,1
9,366,1
10,367,1
11,368,1
12,369,1
13,370,1
14,371,1
15,372,1
16,373,1
17,374,1
18,375,1
19,376,1
20,377,1
21,378,1
22,379,1
23,380,1
24,381,1
25,382,1
26,383,1
27,384,1
28,385,1
29,386,1
30,387,1
31,388,1
32,389,1
33,390,1
34,391,1
35,392,1
36,393,1
37,394,1
38,395,1
39,396,1
40,397,1
41,398,1
42,399,1
43,400,1
44,401,1
46,402,1
45,403,1
47,404,1
48,405,1
49,406,1
50,407,1
51,408,1
52,409,1
53,410,1
54,411,1
55,412,1
56,413,1
57,414,1
58,415,1
59,416,1
60,417,1
61,418,1
62,419,1
63,420,1
64,421,1
65,422,1
66,423,1
67,424,1
68,425,1
69,426,1
70,427,1
71,428,1
72,429,1
73,430,1
74,431,1
75,432,1
76,433,1
77,434,1
78,435,1
79,436,1
80,437,1
81,438,1
82,439,1
83,440,1
84,441,1
85,442,1
86,443,1
87,444,1
89,445,1
90,446,1
88,447,1
91,448,1
92,449,1
93,450,1
94,451,1
95,452,1
96,453,1
97,454,1
98,455,1
99,456,1
100,457,1
101,458,1
102,459,1
103,460,1
104,461,1
106,462,1
107,463,1
108,464,1
105,465,1
109,466,1
110,467,1
111,468,1
35,469,1
84,469,1
89,469,1
111,469,1
18,470,1
107,470,1
5,471,1
10,472,1
95,473,1
60,474,1
96,475,1
23,476,1
68,476,1
17,477,1
83,478,1
45,479,1
58,479,1
43,480,1
59,480,1
46,481,1
8,482,1
39,483,1
16,484,1
37,485,1
13,486,1
69,487,1
53,488,1
26,489,1
87,490,1
33,491,1
91,491,1
36,492,1
32,493,1
90,494,1
47,495,1
66,496,1
42,497,1
67,497,1
76,498,1
27,499,1
80,500,1
86,501,1
1,502,1
11,502,1
30,502,1
99,503,1
79,504,1
34,505,1
74,506,1
88,507,1
3,508,1
77,509,1
6,510,1
94,511,1
51,512,1
40,513,1
78,513,1
106,513,1
44,514,1
2,515,1
14,515,1
73,515,1
28,516,1
49,517,1
75,518,1
85,518,1
104,519,1
103,520,1
52,521,1
56,522,1
15,523,1
81,524,1
110,525,1
71,526,1
55,527,1
25,528,1
7,529,1
92,529,1
24,530,1
22,531,1
64,531,1
101,531,1
108,531,1
19,532,1
82,533,1
109,534,1
12,535,1
48,535,1
21,536,1
54,536,1
98,536,1
38,537,1
70,537,1
20,538,1
57,539,1
72,539,1
9,540,1
29,541,1
4,542,1
97,542,1
100,542,1
62,543,1
50,544,1
105,544,1
65,545,1
61,546,1
41,547,1
63,548,1
93,549,1
102,550,1
31,551,1
35,552,1
84,552,1
89,552,1
111,552,1
18,553,1
107,553,1
5,554,1
10,555,1
95,556,1
60,557,1
58,558,1
96,559,1
23,560,1
68,560,1
17,561,1
83,562,1
45,563,1
43,564,1
59,564,1
46,565,1
8,566,1
39,567,1
16,568,1
37,569,1
66,570,1
13,571,1
69,572,1
53,573,1
26,574,1
87,575,1
33,576,1
91,576,1
36,577,1
32,578,1
90,579,1
47,580,1
42,581,1
67,581,1
76,582,1
27,583,1
80,584,1
86,585,1
1,586,1
11,586,1
30,586,1
99,587,1
79,588,1
34,589,1
74,590,1
88,591,1
3,592,1
77,593,1
6,594,1
94,595,1
51,596,1
40,597,1
78,597,1
106,597,1
44,598,1
2,599,1
14,599,1
73,599,1
28,600,1
49,601,1
75,602,1
85,602,1
104,603,1
103,604,1
52,605,1
56,606,1
15,607,1
81,608,1
110,609,1
71,610,1
55,611,1
25,612,1
7,613,1
92,613,1
24,614,1
22,615,1
64,615,1
101,615,1
108,615,1
19,616,1
82,617,1
109,618,1
12,619,1
48,619,1
21,620,1
54,620,1
98,620,1
38,621,1
70,621,1
20,622,1
57,623,1
72,623,1
9,624,1
29,625,1
4,626,1
97,626,1
100,626,1
62,627,1
50,628,1
105,628,1
65,629,1
61,630,1
41,631,1
63,632,1
93,633,1
102,634,1
31,635,1
52,636,0.0745726113885547
54,636,0.10311421290163
104,636,0.114972632377132
101,637,0.154569308710746
72,638,0.120217311264898
6,639,0.131690818596187
12,639,0.0752002814179215
15,639,0.0882964928092068
52,639,0.0518725307158154
54,639,0.07172600069089
77,639,0.092228544932512
86,639,0.056242975337883
94,639,0.108012334651703
104,639,0.0799746890099691
105,639,0.0835937551556336
10,640,0.100618875687805
52,640,0.0620149679688835
54,640,0.085750310887097
71,640,0.143764426532692
87,640,0.104917465094939
90,640,0.0766655305038053
35,641,0.151723025742229
91,641,0.2149138640329
98,641,0.129992218169086
101,641,0.119306131799566
38,642,0.136391792048364
72,642,0.0994702137079145
105,642,0.120175448001237
18,643,0.0807045088553531
38,644,0.164839844084408
68,645,0.178952445901939
65,646,0.16721208585775
83,647,0.312869706324669
38,648,0.164839844084408
56,649,0.146442986083282
111,650,0.309374259884863
104,651,0.277906324279398
70,652,0.149891689926358
84,653,0.153547836540187
68,654,0.0894762229509695
105,655,0.145241160144545
111,656,0.309374259884863
72,657,0.120217311264898
92,658,0.319484113223301
38,659,0.164839844084408
20,660,0.310736778860074
70,661,0.149891689926358
62,662,0.258378329363638
79,662,0.180054872075472
1,663,0.13422887773689
39,664,0.194616499797917
79,665,0.180054872075472
105,665,0.130578658486839
58,666,0.156291724515886
106,666,0.132834843302344
11,667,0.242914279544106
98,668,0.168413869405539
84,669,0.153547836540187
1,670,0.111063664739943
58,670,0.143839952333984
64,670,0.123120608120168
56,671,0.146442986083282
39,672,0.161029594010206
56,672,0.121169862879661
81,672,0.14377842555166
11,673,0.109195701544242
98,673,0.15141201788575
11,674,0.100496072673402
25,674,0.117947678504219
103,674,0.150189351445008
12,675,0.13065779968851
93,676,0.210614120301455
11,677,0.100496072673402
53,677,0.221621797807771
98,677,0.13934901225858
11,678,0.109195701544242
64,678,0.133778771852382
81,679,0.173767151928272
20,680,0.310736778860074
11,681,0.187496232551054
100,681,0.139140663045782
101,681,0.238612263599132
103,681,0.140104666859674
77,682,0.288133477173239
97,682,0.134096315059031
25,683,0.142548731435827
38,684,0.164839844084408
94,685,0.168722002410252
100,685,0.162067921129862
86,686,0.087855034807994
97,686,0.134096315059031
74,687,0.122141294153679
53,688,0.133923391018226
53,689,0.120403449833123
85,689,0.124960791138881
94,690,0.093833784386924
11,691,0.121457139772053
88,692,0.138136203175895
6,693,0.228808087849203
102,694,0.616106498256092
106,695,0.147750688913654
12,696,0.0899039044177877
15,696,0.105560767862406
26,696,0.153938263884283
45,696,0.105270388612459
54,696,0.085750310887097
56,696,0.10076548246545
47,697,0.151331990881025
95,698,0.120392164108897
95,699,0.481568656435589
107,700,0.609129700256868
108,701,0.151880368686573
93,702,0.210614120301455
62,703,0.143695641951959
99,704,0.125135976012931
104,704,0.24985090296234
36,705,0.17873327839793
32,706,0.179558331055133
90,707,0.111418403821822
47,708,0.151331990881025
67,709,0.136043441612153
30,710,0.164045716153109
72,710,0.108081037195259
104,711,0.277906324279398
99,712,0.139187326187532
94,713,0.093833784386924
79,714,0.180054872075472
82,714,0.151526915171312
102,715,0.154026624564023
15,716,0.153411998640659
3,717,0.327321612452844
104,718,0.277906324279398
81,719,0.173767151928272
12,720,0.117467529088782
38,720,0.148198800424758
40,721,0.0975241507746094
43,721,0.141579950010758
52,721,0.0654740720754925
77,721,0.116411871852012
94,721,0.0681671713953181
44,722,0.163005724630068
2,723,0.138000625637227
14,723,0.104141087529637
53,723,0.103370338349417
73,723,0.130718576369288
49,724,0.126592407347507
72,725,0.120217311264898
40,726,0.120692040356405
85,726,0.124960791138881
52,727,0.0901266670790398
94,728,0.093833784386924
15,729,0.153411998640659
43,730,0.175213758895965
81,730,0.156224871553567
5,731,0.105193453818136
12,731,0.0949186125625663
31,731,0.0584545819104944
38,731,0.119750748388714
52,731,0.0654740720754925
52,732,0.0901266670790398
55,733,0.157144206010006
25,734,0.142548731435827
7,735,0.333788517428193
92,735,0.143615648866472
24,736,0.154519568440907
81,737,0.173767151928272
12,738,0.100849753423235
38,738,0.127233564853144
52,738,0.0695653238723449
54,738,0.0961904576328778
46,739,0.122431457958473
76,739,0.146434724528036
101,739,0.255787490310172
88,740,0.55254481270358
19,741,0.16712803982462
82,742,0.168541668352517
29,743,0.103482775876986
31,743,0.0584545819104944
50,743,0.0994527342878187
57,743,0.10750011209656
74,743,0.0887316501984764
21,744,0.20184428545998
12,745,0.108108883162294
38,745,0.136391792048364
39,745,0.161029594010206
52,746,0.0901266670790398
50,747,0.27379825903981
53,748,0.133923391018226
61,749,0.193717502228957
51,750,0.15291496731414
104,750,0.24985090296234
52,751,0.0901266670790398
102,752,0.308053249128046
5,753,0.0309830456551309
6,753,0.0489579027522726
7,753,0.0264800669122912
8,753,0.0639105769939203
9,753,0.118312687730527
10,753,0.0625774233234593
18,753,0.01726828598303
21,753,0.0431884772585676
22,753,0.0594698282184958
26,753,0.0957380992275654
27,753,0.0858161915555528
28,753,0.039682842736094
30,753,0.0390421597532357
31,753,0.0344337202430021
32,753,0.0384199675491856
34,753,0.0354730434721929
40,753,0.057448350752918
41,753,0.0339216277056493
48,753,0.0380137076346051
49,753,0.135434433860134
51,753,0.0363930904295444
52,753,0.0578530152983502
53,753,0.0286554920997637
56,753,0.0313343008929948
58,753,0.0371967438086755
59,753,0.0338361217925599
66,753,0.031517914088543
68,753,0.0191451633683563
70,753,0.032072217585354
72,753,0.0771684360815794
73,753,0.0724735004693658
76,753,0.0757354941319236
83,753,0.0334722535386735
89,753,0.0860398021964452
90,753,0.0238401161007788
93,753,0.0450649525412306
94,753,0.0401550953384162
96,753,0.0415016557305865
97,753,0.0319143338675697
98,753,0.036035395068396
100,753,0.0385714532266189
104,753,0.0297317086257877
105,753,0.0310771470572762
107,753,0.0325837614712628
110,753,0.032895525461741
111,753,0.0330982944525144
37,754,0.122359884765884
57,754,0.10750011209656
83,754,0.113644797738802
90,754,0.0809418215362239
109,754,0.137463258411097
90,755,0.111418403821822
71,756,0.417867138605063
100,757,0.721065238681042
80,758,0.125162287981173
86,758,0.080855618288337
95,758,0.099614890456854
89,759,0.201056433310743
20,760,0.155368389430037
23,761,0.126252285596207
21,762,0.155795876457869
48,762,0.274257360957157
54,762,0.0961904576328778
90,762,0.171999200645185
82,763,0.168541668352517
18,764,0.0807045088553531
48,765,0.177659647717016
98,766,0.168413869405539
31,767,0.16092833318866
79,768,0.200272991107157
34,769,0.165785680978488
45,770,0.137545221385011
94,770,0.253083003615378
18,771,0.0807045088553531
8,772,0.0768492353341051
18,772,0.0622927206612174
29,772,0.109949062138544
76,772,0.136602149881449
25,773,0.117947678504219
43,773,0.161254466965026
49,773,0.104745096027885
40,774,0.134244386982604
6,775,0.617127812788474
94,775,0.337444004820504
49,776,0.126592407347507
2,777,0.178789312708856
1,778,0.482712387249831
58,778,0.468875173547657
2,779,0.536367938126569
45,780,0.126586984365742
68,780,0.0740344208755292
90,780,0.0921898212706694
18,781,0.0807045088553531
18,782,0.161409017710706
31,783,0.0804641665943299
29,784,0.128066199635032
99,784,0.125135976012931
16,785,0.496668969877524
9,786,0.0918490702407939
17,786,0.073092988496937
23,786,0.0629151710123226
26,786,0.111485786977061
27,786,0.0999318529209984
28,786,0.0924203214313782
51,786,0.0847585728106225
56,786,0.072976781921021
58,786,0.0866302608878266
66,786,0.0734044123371296
70,786,0.074695370943258
98,786,0.0839255095023385
105,786,0.0723778772429342
111,786,0.0770850776108707
31,787,0.0804641665943299
68,788,0.0894762229509695
74,789,0.122141294153679
8,790,0.099563475920064
83,791,0.312869706324669
43,792,0.194888275850234
90,793,0.445673615287289
23,794,0.126252285596207
8,795,0.0622783930726133
18,795,0.151445509875364
29,795,0.0891023948391924
31,795,0.150994497202324
40,795,0.0839718041484106
50,795,0.085632383971652
71,795,0.130690967092532
90,795,0.0696938218017784
46,796,0.133029964129118
48,796,0.159724408997043
45,797,0.152989989005827
3,798,0.0754121220567052
11,798,0.0559653887839007
12,798,0.0301024483654894
14,798,0.0621697446682018
16,798,0.0381427720761721
18,798,0.0185936340308208
21,798,0.0465032106419474
22,798,0.0320170809904686
29,798,0.0328184834718393
31,798,0.037076522426559
32,798,0.0413687158521462
33,798,0.0331146717403862
43,798,0.179602420209341
45,798,0.0704951905736049
46,798,0.102271521091579
48,798,0.0409312753221176
50,798,0.031540397798508
51,798,0.0391862750803702
52,798,0.062293258004536
54,798,0.0287117041525595
55,798,0.0362046916344024
68,798,0.0206145625270118
69,798,0.0329861146351698
74,798,0.0844209532684752
77,798,0.0738376229265952
78,798,0.042126086839547
79,798,0.0461411977561066
82,798,0.0388305702461728
84,798,0.0353761186251636
86,798,0.0450277905642687
88,798,0.127301636287169
89,798,0.0463216961919981
91,798,0.0320746123588819
92,798,0.0736064287384774
94,798,0.129711046237414
97,798,0.0343637721111507
98,798,0.0776022529064268
99,798,0.0320675788944819
101,798,0.0712229142913355
103,798,0.0418195717564913
104,798,0.0320136294848351
105,798,0.0669246617380379
106,798,0.0340405050030846
66,799,0.441903344517361
3,800,0.654643224905688
1,801,0.092361116006345
7,801,0.0851551380465277
11,801,0.0835730519797261
67,801,0.0936096934168823
70,801,0.20627697996272
